geo,year,gdp,pop,employment_rate,NUTS_NAME,CNTR_CODE,dominant_class,dominant_koppen,pct_Dfb,pct_Dfc,pct_ET,pct_Cfb,pct_BSk,pct_EF,pct_BSh,pct_Csa,pct_Csb,pct_Dsb,pct_Cfa,pct_Dsc,pct_BWk,pct_Dfa,pct_Af,pct_Am,pct_Aw,pct_Dsa,pct_Cfc,pct_BWh,pct_Csc,nights_spent
EL30,2000,16200.0,3871527.0,59.9,Aττική,EL,8.0,Csa,0.0,0.0,0.0,0.0,0.0,0.0,0.0046211513947836,0.9762270852094602,0.01991975036126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7841507.0
EL41,2000,9200.0,196904.0,57.6,Βόρειο Αιγαίο,EL,8.0,Csa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9679676390486514,0.0320323609513488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1930479.0
EL42,2000,14900.0,305954.0,64.6,Νότιο Αιγαίο,EL,8.0,Csa,0.0,0.0,0.0,0.0,0.0010814720275041,0.0,0.0127745548186694,0.9718394221713652,0.0138798884206942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17405641.0
EL43,2000,11500.0,575599.0,71.9,Κρήτη,EL,8.0,Csa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8828409692212554,0.112752566388764,0.0045958657245525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12400515.0
EL51,2000,9900.0,582750.0,65.9,"Aνατολική Μακεδονία, Θράκη",EL,8.0,Csa,0.0770663164724295,0.0004062525110662,0.0,0.0672160197765517,0.0448436517933416,0.0,0.0,0.6934536280050823,0.0391483156480738,0.0,0.0819426525399643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1627735.0
EL52,2000,10500.0,1828425.0,60.5,Κεντρική Μακεδονία,EL,7.0,BSk,0.0838110874418375,0.0031207824138897,3.436363885805279e-05,0.0368385425830651,0.6447731241344046,0.0,0.0,0.0291345550747279,0.0,0.0,0.208248850825233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5485791.0
EL54,2000,9700.0,337513.0,62.1,Ήπειρος,EL,8.0,Csa,0.0082918715270711,0.0012233908810432,0.0,0.0001359323201159,0.0,0.0,0.0,0.6635210251985452,0.1936734608016781,0.1254317221277096,0.0,0.0080018768877351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1057885.0
EL61,2000,9300.0,739421.0,61.2,Θεσσαλία,EL,7.0,BSk,0.010700098818704,0.003903833907486,0.0002940528478426,0.0204310822072228,0.4224691557710514,0.0,8.971703954675845e-05,0.335276529572959,0.1119191269025764,0.0671227981599533,0.0290221465936754,0.0011657139585884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752050.0
EL62,2000,12800.0,203658.0,69.8,Ιόνια Νησιά,EL,8.0,Csa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9353023743584168,0.064697625641583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6812771.0
EL63,2000,9800.0,707200.0,63.0,Δυτική Ελλάδα,EL,8.0,Csa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8277453902531666,0.1591289932101135,0.012950598182885,0.0,0.0004066734234154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619233.0
EL64,2000,13800.0,553882.0,60.6,Στερεά Ελλάδα,EL,8.0,Csa,0.0,0.0,0.0,0.0,0.0431754700703546,0.0,0.0003773697135774,0.7294045843513196,0.1733251247707274,0.0471613268632184,0.0,0.0038234271536397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1532918.0
EL65,2000,10800.0,585638.0,69.5,Πελοπόννησος,EL,8.0,Csa,0.0,0.0,0.0,0.0,0.0,0.0,0.0004172243257654,0.8257327031173486,0.1652859761573706,0.0083913280688681,0.0,0.0003421275296556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2343582.0
ES11,2000,12400.0,2702471.0,59.8,Galicia,ES,9.0,Csb,0.0,0.0,0.0,0.0867016104069486,0.0,0.0,0.0,0.000648962989728,0.9119217988974389,0.0005589112985184,0.0,0.0001798487216353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6713632.0
ES12,2000,13300.0,1068287.0,52.2,Principado de Asturias,ES,15.0,Cfb,0.006987222040478,0.011225627424833,0.0008557882085011,0.5986820776734348,0.0,0.0,0.0,0.0,0.3798179033367792,0.0009472451928003,0.0001114741355583,0.0004496360100512,0.0,0.0,0.0,0.0,0.0,0.0,0.000275180837639,0.0,0.0,3122958.0
ES13,2000,15000.0,533417.0,56.7,Cantabria,ES,15.0,Cfb,0.0033615561346092,0.0139309320060024,0.0010355598145442,0.8935525723113839,0.0,0.0,0.0,0.0,0.0838249464736011,0.0001041278960349,0.0025285231057336,0.0004555595451527,0.0,0.0,0.0,0.0,0.0,0.0,0.0004933059074654,0.0,0.0,3087227.0
ES21,2000,19600.0,2084535.0,62.4,País Vasco,ES,15.0,Cfb,0.0,0.0,0.0,0.7152782878461189,0.0091025738214731,0.0,0.0,0.0,0.2749451529180353,0.0,0.0006739854143728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3198985.0
